Region of provider,Work in same region (%),Work in same region (%),Work in same region (%),Work in same region (%),Work in same region (%)
,2017/18,2018/19,2019/20,2020/21,2021/22
---,---,---,---,---,---
East Midlands,42.5,41.1,39.1,39.4,40.5
East of England,50.1,50.2,48.5,47.4,47.3
London,71.3,70.8,70.0,69.2,70.2
North East,55.3,54.5,53.3,53.8,53.7
North West,67.4,66.9,66.0,66.8,68.6
Northern Ireland,91.3,91.2,90.5,88.5,89.9
Scotland,81.9,82.8,81.8,81.0,80.8
South East,45.4,46.2,46.0,42.8,44.0
South West,50.8,51.6,50.2,50.4,51.3
Wales,60.7,59.9,60.1,59.7,60.7
West Midlands,52.3,52.1,50.3,50.6,51.2
Yorkshire and The Humber,54.0,55.0,53.2,54.1,55.7
