Name,Industry,Size,Postcode,LADCD
"alma-nac","Architecture design & planning",1-9,SE1 8ST,E09000022
"ITGUYS","Other info service activities",1-9,N4 2TG,E09000012
"Shaped By","Advertising & market research",10-49,BS4 3EH,E06000023
"Alex Begg Group Limited","Apparel",50-249,KA8 8HJ,S12000028
"Cape Cove LTD","Apparel",1-9,RG9 1NS,E07000179
"Surface Matter","Other/general wholesale trade",10-49,E8 3RL,E09000012
"Connexin Limited","Telecommunications",50-249,HU5 1SW,E06000010
"Vu Online Ltd.","Web portals",1-9,EX2 4AN,E07000041
"Fox Agency","Other business support",50-249,LS10 1PZ,E08000035
"AMS Instrumentation & Control Ltd","Fabricated metal products",1-9,TR9 6FZ,E06000052
"Leufroy Limited","Real estate- fee/contract",1-9,SW7 2JN,E09000020
"GreenKite Associates Limited","Management  consultant - for-profits",10-49,EC3M 7HA,E09000001
"S+SA Architects","Architecture design & planning",10-49,HG3 1RZ,E06000065
"OF NATURE","Personal care products",0,LD2 3SH,W06000023
"Bluesoup Communications","Advertising & market research",10-49,EX39 2LB,E07000046
"OHMG Brands Limited","Beverages",1-9,RH185BX,E07000065
"FITFILE Group Limited","Technology-based support services",1-9,W1W 5PF,E09000033
"Canongate Books","Book publishing",50-249,EH1 1TE,S12000036
"Sheard Packaging","Paper & paper products",50-249,HX4 8AQ,E08000033
"Loom Digital","Other info service activities",10-49,BS1 6QA,E06000023
"Baily Garner LLP","Other professional, scientific & tech",50-249,SE9 5DY,E09000011
"Appvia","Software publishing and SaaS platforms",10-49,EC1A 9HA,E09000001
"Fresh (GB) Ltd","Other professional, scientific & tech",0,PL27 7AE,E06000052
"Pangea Bio","Other human health",10-49,WC1V 6LJ,E09000007
"Re:Co Insights Ltd","Software publishing and SaaS platforms",1-9,NW5 1LP,E09000007
"K2 Architects","Architecture design & planning",10-49,L1 3BT,E08000012
"Inspired Cycle Engineering","Machinery & equipment",10-49,TR11 4SN,E06000052
"City Sanctuary Developments","Real estate development",0,N16 0NS,E09000012
"Tiny Rebel","Beverages",50-249,NP10 8SQ,W06000022
"Erevena","Other professional, scientific & tech",50-249,WC2R 0LR,E09000033
"PRP","Architecture design & planning",250-999,EC1A 9HP,E09000001
"W Gadsby & Son","Other/general wholesale trade",10-49,TA6 6TS,E06000066
"Achieve Goal 12","Environmental consulting",1-9,M202SL,E08000003
"Service Innovation Group UK Ltd","Advertising & market research",50-249,WD17 1HP,E07000103
"Superscript","Other insurance services",50-249,EC3M 1BD,E09000001
"Future Leap Ltd.","Membership organizations",10-49,BS78AA,E06000023
"Jigsaw Tree Ltd","Other professional, scientific & tech",10-49,WR2 4JP,E07000237
"Appointedd","Software publishing and SaaS platforms",10-49,EH1 2JY,S12000036
"Thinking Sky Blue Limited (Vizzy)","Software publishing and SaaS platforms",1-9,SW6 4LZ,E09000013
"Worlds Better","Other personal services",1-9,BN1 3PD,E06000043
"Motion Manor","Advertising & market research",1-9,CF24 0ED,W06000015
"Robot Food Ltd.","Other personal services",10-49,LS11 5FD,E08000035
"Spark & Bell Ltd","Electrical equipment",1-9,BN41 1GG,E06000043
"Kene Partners","Other professional, scientific & tech",10-49,EC2M 4YP,E09000001
"Kuishi","Other retail sale",1-9,TR112DA,E06000052
"Carlowrie Castle Ltd","Event catering & related",10-49,EH29 9ES,S12000036
"Aletheia Real Estate Limited","Other professional, scientific & tech",10-49,WC2H 9JQ,E09000007
"Studio 91 Media","Film, TV & music production",1-9,M15 4PY,E08000003
"Plend","Other credit - Developed Markets",10-49,E1 8FA,E09000030
"AYMES International","Pharmaceutical products",10-49,BN15 8AF,E07000223
"Method Events Limited","Arts & entertainment",1-9,SE1 6FP,E09000028
"Tenzing","Equity investing - Developed Markets",10-49,W1B4JD,E09000033
"Studio Knight Stokoe","Architecture design & planning",0,SN13 8ND,E06000054
"WPI Economics","Other professional, scientific & tech",10-49,SW1P 2JT,E09000033
"5th Studio","Architecture design & planning",10-49,WC1X 0HF,E09000007
"V7","Real estate development",10-49,W1F 7NY,E09000033
"MFM Holding Ltd","Investment advising",50-249,N1 9HS,E09000019
"Tailsco Ltd","Food products",250-999,TW9 1BN,E09000027
"West Peak Partners Ltd","Management  consultant - for-profits",1-9,BH23 6NW,E06000058
"Talent Group Ltd","Other personal services",10-49,BH140JY,E06000058
"Gravis Capital Management Limited","Investment advising",50-249,W1S 2ES,E09000033
"World Extreme Medicine Ltd","Other human health",10-49,EX13 5AH,E07000040
"Poppy's Funerals","Funeral & related services",10-49,SW17 0BY,E09000032
"PelorusX ltd","Travel agency & related",10-49,SW6 4LZ,E09000013
"Bellevie Care Ltd","Home health care",10-49,RG10 9HJ,E06000041
"The Baby Gifting Company","General retail via Internet",1-9,NW71RP,E09000003
"studioshaw","Architecture design & planning",1-9,EC2A 3QN,E09000012
"Microcomms Professional Services","Telecommunications",10-49,TR3 6EE,E06000052
"HF Holidays","Accommodation",250-999,WD6 1JN,E07000098
"Jason Bruges Studio","Other manufacturing",10-49,E8 3RL,E09000012
"Disruptive Thinking LTD","Other professional, scientific & tech",1-9,TQ7 1NL,E07000044
"Evenlode Investment Management Ltd","Investment advising",10-49,OX7 5QR,E07000181
"JACK RYAN","Advertising & market research",1-9,G24JR,S12000049
"Kontor Group Limited","Other professional, scientific & tech",10-49,W1T1QU,E09000007
"Planned Future Wellbeing Ltd","Other education",1-9,CH4 9EP,E06000050
"Assael Architecture","Architecture design & planning",50-249,SW15 2TL,E09000032
"FOLDE Dorset Ltd","Books or other media",0,SP78JE,E06000059
